,id,name,symbol,date_added,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap
0,1,Bitcoin,BTC,2013-04-28T00:00:00.000Z,18433175.0,18433175.0,1,2020-07-15T02:03:14.000Z,9254.72205109,17793957769.23,0.0536633,0.296936,-0.189442,170593911144.10092
1,1027,Ethereum,ETH,2015-08-07T00:00:00.000Z,111761620.9365,111761620.9365,2,2020-07-15T02:03:27.000Z,241.110856,7245667265.52555,0.204448,0.757804,0.669399,26946940091.947037
2,825,Tether,USDT,2015-02-25T00:00:00.000Z,9187991662.60765,9479177441.5431,3,2020-07-15T02:03:19.000Z,1.00231003314,21707790749.5511,0.29601,0.305297,0.216355,9209216227.838318
3,52,XRP,XRP,2013-08-04T00:00:00.000Z,44257803618.0,99990932726.0,4,2020-07-15T02:03:11.000Z,0.19929660171,1223814681.09113,0.18814,0.70948,4.5371,8820429860.215942
4,1831,Bitcoin Cash,BCH,2017-07-23T00:00:00.000Z,18462075.0,18462075.0,5,2020-07-15T02:03:12.000Z,229.466052078,1140184596.629,-0.125277,-0.783087,-3.85111,4236419463.4179416
5,2010,Cardano,ADA,2017-10-01T00:00:00.000Z,25927070538.0,31112483745.0,6,2020-07-15T02:03:11.000Z,0.131663397977,432224121.63048,0.169769,5.28523,6.20244,3413646206.6224456
6,3602,Bitcoin SV,BSV,2018-11-09T00:00:00.000Z,18460920.8319233,18460920.8319233,7,2020-07-15T02:03:18.000Z,181.97484757,1022286519.34997,0.398294,0.37217,-1.39886,3359423254.39108
7,2,Litecoin,LTC,2013-04-28T00:00:00.000Z,65032166.8853833,65032166.8853833,8,2020-07-15T02:03:01.000Z,43.755929331,1862113595.92481,-0.0730439,0.061911,-0.0810152,2845542898.47863
8,1839,Binance Coin,BNB,2017-07-25T00:00:00.000Z,155536713.0,179883948.9,9,2020-07-15T02:03:11.000Z,18.1080735076,190557653.534817,0.245678,-2.34229,7.77472,2816470232.134485
9,1975,Chainlink,LINK,2017-09-20T00:00:00.000Z,350000000.0,1000000000.0,10,2020-07-15T02:03:11.000Z,7.98209384618,1156910092.95211,0.615243,9.44195,36.8334,2793732846.163
10,3635,Crypto.com Coin,CRO,2018-12-14T00:00:00.000Z,18159360730.5936,100000000000.0,11,2020-07-15T02:03:18.000Z,0.14099549448,59178747.6230172,0.350605,-0.958415,1.94063,2560388045.650739
11,1765,EOS,EOS,2017-07-01T00:00:00.000Z,934332988.8147,1021033000.1101,12,2020-07-15T02:03:12.000Z,2.55757866998,1302781017.71502,0.216595,0.576985,-0.848037,2389630122.8511386
12,2011,Tezos,XTZ,2017-10-06T00:00:00.000Z,736413943.980646,736413943.980646,13,2020-07-15T02:03:11.000Z,2.91658077064,248035007.180649,0.45618,2.59713,14.3983,2147810748.2451143
13,512,Stellar,XLM,2014-08-05T00:00:00.000Z,20468557441.6209,50001803810.8717,14,2020-07-15T02:03:09.000Z,0.0932307215922,313813440.346753,1.48342,3.95229,24.1704,1908298380.2337115
14,328,Monero,XMR,2014-05-21T00:00:00.000Z,17631667.7113124,17631667.7113124,15,2020-07-15T02:03:09.000Z,68.0856009399,68138616.76511,0.252593,-0.807097,4.66947,1200462691.697336
15,1958,TRON,TRX,2017-09-13T00:00:00.000Z,66682072191.4,99281283754.3,16,2020-07-15T02:03:12.000Z,0.0177477832848,432380608.416677,0.208698,2.04809,2.87607,1183458966.2343557
16,3957,UNUS SED LEO,LEO,2019-05-21T00:00:00.000Z,999498892.9,999498892.9,17,2020-07-15T02:03:19.000Z,1.13036134589,18203109.6196733,0.197435,0.883608,-7.59491,1129794913.794009
